author,review,rating,vote_count,date,reply
b'skyline rxz',b'Apps alquran terbaik pernah saya pakai. Tukar ke premium sebab nak support developer. Semoga dipermudah urusan dunia akhirat. The best alquram apps i had used. Subscribed to premium to support developer. May Allah ease.',b'Rated 5 stars out of five stars',b'5',"b'May 1, 2020'",b''
b'Zahari Yusoff',"b'Alhamdullillah.. I like it very much. But I need ""HISTORY"" about the list of page & date & time that i had read previously'",b'Rated 5 stars out of five stars',b'2',"b'May 14, 2020'",b''
b'Izzat Rohaizad',b'I cannot create new account for the apps it show failed to create.',b'Rated 4 stars out of five stars',b'34',"b'April 28, 2020'",b''
b'Rashdi Hamid',b'Very User Friendly. Easy to seach for Surah and Ayat.',b'Rated 5 stars out of five stars',b'1',"b'May 3, 2020'",b''
b'A Google user',"b'Very good, very convenient and helpful'",b'Rated 4 stars out of five stars',b'1',"b'May 8, 2020'",b''
b'Yusryna Yusri',b'Someone from twitter said this app is really useful so i downloaded it and so far it is really good. Thank you!',b'Rated 5 stars out of five stars',b'69',"b'April 11, 2020'",b''
b'habib irwan',b'The best app for tilawah.. Complete with tajwid.. Recommend',b'Rated 5 stars out of five stars',b'',"b'May 22, 2020'",b''
b'hasan aron',b'Useful and user friendly..recommended',b'Rated 5 stars out of five stars',b'1',"b'May 1, 2020'",b''
b'Family Kita',b'Perfect App Very good apps It will be better if have ayat manzil too in this app Very recommended to others',b'Rated 4 stars out of five stars',b'1',"b'May 1, 2020'",b''
b'yazim yahya',b'Very easy to read & follow',b'Rated 5 stars out of five stars',b'5',"b'April 28, 2020'",b''
b'Fitri Mokhtar',b'Really good for read quran anywhere',b'Rated 5 stars out of five stars',b'',"b'May 4, 2020'",b''
b'Ikram Omar',"b""Last time was quite ok. But after update the 'pencarian ayat' section have some issues. Please fix this \xf0\x9f\x99\x8f""",b'Rated 2 stars out of five stars',b'93',"b'March 1, 2020'",b''
b'ymanda my',"b'the best for learning quran.. but pls improve for others like adzan, add more language, prayer time for other country..'",b'Rated 5 stars out of five stars',b'',"b'May 6, 2020'",b''
b'Mohd Faez Zulkepli',"b'Wonderful apps where you can refer tajwid with colour, audio, youtube link, etc. great layout and easy to use.'",b'Rated 5 stars out of five stars',b'87',"b'February 9, 2020'",b''
b'Aku Mym',b'Very good apps....congrate to all team...May Allah guide all of us..Amin',b'Rated 5 stars out of five stars',b'1',"b'May 2, 2020'",b''
b'Firdaus Hariri',"b""It's very easy to use. Thank you""",b'Rated 5 stars out of five stars',b'3',"b'April 25, 2020'",b''
b'nani aziz',b'Best app.. very user friendly',b'Rated 5 stars out of five stars',b'',"b'May 7, 2020'",b''
b'yahya hassan',b'I m happy downloading this application as it could be the best guidance to learn AlQuran.',b'Rated 5 stars out of five stars',b'2',"b'April 28, 2020'",b''
b'Azlan Halim',b'Nice apps to tadabbur and learn tajwid....like it \xf0\x9f\x98\x8a',b'Rated 5 stars out of five stars',b'2',"b'April 30, 2020'",b''
b'yuki mirae',"b'so far so good, hopefully can put muslimah voice'",b'Rated 5 stars out of five stars',b'',"b'May 4, 2020'",b''
b'rafiz syam manan',"b'Apps yg bagus! Saiz boleh ubah, upgrade to premium utk full customise.. Weldone & pls keep it up! \xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d'",b'Rated 5 stars out of five stars',b'',"b'May 10, 2020'",b''
b'Norazimah Othman',b'Really good apps. Easy to follow',b'Rated 5 stars out of five stars',b'11',"b'March 6, 2020'",b''
